@id	@lon	@lat	name
686378273	47.54204779999999	-18.939110999999997	Ambohitsoa
686378280	47.5332033	-18.946196399999998	Androndrakely
686378306	47.5457777	-18.9377899	Mahazoarivo
686378314	47.5490372	-18.9333839	Mandroseza
686542283	47.5347847	-18.921364999999998	Ambavahadimitafo
686542284	47.5324136	-18.917151	Ambohimanoro
686543332	47.5297099	-18.914968899999998	Ambatovinaky
686543334	47.5276929	-18.9130405	Ambatonakanga
686543335	47.5292915	-18.912512699999997	Ambohijatovo
686545015	47.5306336	-18.910439399999998	Faravohitra
686545016	47.5319844	-18.9099753	Mangarivotra
687164481	47.5557703	-18.8885345	Ankerana
687164483	47.5451059	-18.8788177	Andranobevava
687164484	47.5384325	-18.8958717	Anjanahary
687164485	47.5602764	-18.895445300000002	Mahazo
687164486	47.5603194	-18.8924204	Ankadindramamy
687164487	47.5573153	-18.8932122	Iadiambola
687164488	47.5665839	-18.891458800000002	Soamanandrariny
687168427	47.5253648	-18.865640300000003	Mahatony
687168429	47.52376629999999	-18.8698949	Amboniloha
687168430	47.5186445	-18.863032399999998	Soavimasoandro
687168431	47.518927500000004	-18.866147899999998	Tsarasaotra
687168433	47.541340999999996	-18.8668795	Androhibe
687168434	47.5350208	-18.873660600000004	Ambodivoanjo
687168435	47.5324029	-18.8666759	Ampetsapetsa
687168436	47.5215453	-18.8708992	Alarobia
687168437	47.5481099	-18.8735794	Analamahitsy
687168439	47.535503600000006	-18.891864	Manjakaray
687168440	47.5492472	-18.8642088	Ambohitrarahaba
687173774	47.4786494	-18.9539442	Ambohimangidy
687173775	47.449209499999995	-18.9404277	Malaza
687173778	47.4799972	-18.9315872	Ambohimamory
687173779	47.478821	-18.9269527	Avarabohitra
687173781	47.4824439	-18.943049300000002	Tangaina
687173783	47.477919799999995	-18.9371803	Ampitatafika
687173784	47.463629	-18.9406712	Ambodiafontsy
687173785	47.4645761	-18.9478121	Faliarivo
687175200	47.47242670000001	-18.917816600000002	Itaosy
687180724	47.515398700000006	-18.976683899999998	Bevalala
687180725	47.533533299999995	-18.9792134	Andoharanofotsy
687180728	47.574820700000004	-18.908205499999998	Andralanitra
687180729	47.528189000000005	-18.9578923	Tanjombato
687180730	47.5293891	-18.9710833	Malaza
687180731	47.534248299999994	-18.997770199999998	Iavoloha
687191160	47.5311915	-18.8981374	Andravoahangy
687191161	47.5345604	-18.8962088	Mascar
687191162	47.5258488	-18.9032904	Tsiazotafo
687191163	47.526020200000005	-18.9040651	Ambondrona
687191164	47.5288741	-18.909708600000002	Mandrosoa
687191167	47.538487100000005	-18.9013856	Ambodimanga
687191168	47.5339371	-18.900304300000002	Mahavoky
687191170	47.533058399999994	-18.904187	Ampandrana
687191172	47.5504176	-18.8967163	Ambohimirary
688357084	47.5373291	-18.9038982	Mangasoavina
688357090	47.5388851	-18.9142371	Ankorahotra
688357091	47.53630820000001	-18.911926100000002	Antsakaviro
688357092	47.5410198	-18.9115816	Ambaranjana
688359813	47.5395714	-18.909845999999998	Cité Planton
688379376	47.5352782	-18.9021313	Besarety
689610713	47.5423208	-18.8854969	Ambohitrinimanga
690711883	47.513573799999996	-18.8916204	Ankazomanga
690711890	47.5173715	-18.9007471	Antohomadinika
694051796	47.5287731	-18.9242775	Ankadilalana
694070647	47.54024570000001	-18.9231715	Ambatoroka
694182857	47.5555546	-18.905324399999998	Andraisoro
694218753	47.528037100000006	-18.967598499999998	Tongarivo
696956149	47.5426602	-18.8728089	Ambohijatavo
697186988	47.5463295	-18.8637835	Andrononobe
703740357	47.5099316	-18.8846077	Andraharo
709046261	44.269426200000005	-20.2978766	Nosy Kely
725856151	47.5075009	-18.9092326	67ha Sud
728268649	47.4850479	-18.9362622	Antanimenakely
728268650	47.5021175	-18.938423699999998	Anosizato Atsinanana
738247099	47.497214899999996	-18.9092022	Ampasika
837190450	47.5117349	-18.9336941	Mandrangobato
837190453	47.516949200000006	-18.928559	Ambohibary
837191410	47.5096106	-18.9398135	Miadana
837191897	47.5239907	-18.932216399999998	Fiadanana
837191898	47.520436	-18.9281835	Mananjara
837197782	47.539812299999994	-18.935561399999997	Ambatolava
837197783	47.5380777	-18.9372398	Andrangaranga
837197784	47.5364898	-18.9338199	Ambohidahy
837197785	47.5344908	-18.919181299999998	Ankadibevava
837197786	47.5369941	-18.9407815	Androndrabe
837197787	47.5453411	-18.933890899999998	Ambohidraserika
837197788	47.5419152	-18.933653500000002	Fenomanana
837200217	47.540556099999996	-18.9190331	Faliarivo
837200474	47.54764779999999	-18.927609	Ankadivory
837540702	47.541725899999996	-18.942053899999998	Ampamatanana
837540703	47.56110220000001	-18.9254107	Andohaniato
837540704	47.54987979999999	-18.923380899999998	Antsahabe
837540705	47.545931599999996	-18.9158908	Ampasanimalo
837558566	47.5186375	-18.9163982	Anosy
837558567	47.508829399999996	-18.902543100000003	67ha Nord
837558568	47.5123933	-18.9034674	67ha Est
837558569	47.513594899999994	-18.8986764	Antsalovana
837558570	47.5108913	-18.9074056	Ambodinisotry
837558571	47.516341499999996	-18.9127038	Ampefiloha
837567373	47.5246027	-18.902132100000003	Behoririka
837567376	47.521739600000004	-18.9030772	Soarano
843310804	47.520053999999995	-18.8986092	Antanimena
844529031	47.5165779	-18.8915595	Tsaramasay
844529035	47.5212986	-18.8867581	Ankorondrano
844907666	47.553646	-18.8937318	Ankadindramamy
845913879	47.43048889999999	-18.801941	Anosiala
845913880	47.4277853	-18.7956135	Alakamisy
845947786	47.5416075	-18.9453277	Ankazolava
845962439	47.5375627	-18.9296083	Manakambahiny
845962440	47.545545000000004	-18.910791699999997	Andrainarivo
846600693	47.472244200000006	-18.9270745	Vinany
931486387	47.470713	-18.948157100000003	Ankaditany
931486391	47.4634388	-18.955869	Ambohimiadana
931486392	47.4763993	-18.947802	Ambodavena
931486395	47.4777296	-18.9420685	Atsimombohitra
931486397	47.4747256	-18.9387095	Anjanatsimiova
931540836	47.4617544	-18.923781100000003	Ambavahaditokana
931752002	47.4982539	-18.9732195	Isaingy
931752003	47.4946275	-18.976953100000003	Ampanefy
931752004	47.50151470000001	-18.9912241	Ankadivoribe
931752006	47.4970864	-18.998674800000003	Soalandy
931752010	47.5028888	-18.9588928	Soavina Atsimondrano
1028247750	49.2882274	-12.2769548	Villa Basse
1300926224	47.0929959	-21.445706100000002	Ivory Avaratra
1302314006	47.0798487	-21.4547647	Ambatolahikosoa
1302477023	47.0915964	-21.4424185	Antarandolo
1302477025	47.0869627	-21.4555152	Anjoma
1302477028	47.0879188	-21.4478736	Ampasambazaha
1316453705	46.31054520000001	-15.7234854	Mahajanga Be
1317463786	46.3197513	-15.717752800000001	Mahabibo
1319172888	46.3227565	-15.700383800000003	Mahavoky Avaratra
1319173142	46.325387899999996	-15.6980579	Mazava Huile
1319299524	46.3270573	-15.711106	Tsararano Ambany
1319299525	46.316440500000006	-15.7077751	Tsaramandroso Ambany
1319299526	46.328196399999996	-15.6972649	Andovinjo
1319299527	46.3208248	-15.711292199999999	Antanambao Ambalavato
1319299528	46.3174779	-15.7234386	Marolaka
1319299529	46.319599700000005	-15.7053131	Mahavoky Atsimo
1319299530	46.3243709	-15.708437099999998	Anosy Kely
1319299531	46.3169778	-15.710754300000001	Tsaramandroso Ambony
1319299532	46.329442900000004	-15.702913199999998	Tsararano Ambony
1319299533	46.3210761	-15.713513800000001	Mahabibo Kely
1319299536	46.3217804	-15.7165644	Morafeno
1342568127	43.6679495	-23.3418995	Anketa
1343638624	43.6713768	-23.3618853	Mahavatse
1346042573	43.6676988	-23.3541465	Ankily
1346042578	43.661745700000004	-23.3426984	Tananarena
1346049095	43.681115500000004	-23.3577957	Ankatsaka
1346049100	43.6775682	-23.3489929	Ankilifaly
1346049103	43.6839836	-23.3576399	Sanfily
1346049105	43.673700700000005	-23.3530307	Tanambao
1346049108	43.67922539999999	-23.352144199999998	Amborogony
1346049111	43.673644	-23.349028399999998	Tanambao-Morafeno
1346049113	43.6734029	-23.3587078	Tsimenatse
1346049116	43.668501	-23.352297	Tranombarotra
1597336574	49.4196067	-18.1593445	Ampasimazava
1807627774	46.339071399999995	-15.7138125	Antanimasaja
1807627813	46.323192399999996	-15.703022099999998	Fahazanava
1807668161	46.323053	-15.7130014	Ambalavola
1807668164	46.326389	-15.7188416	Mahavonjy
1807668168	46.3221864	-15.714500199999998	Pautobe
1905753055	46.300138399999994	-15.7154372	Corniche
1905753063	46.306125099999996	-15.7068167	Village touristique
1925740292	50.1517704	-14.257447199999998	Antaimby
1925850580	50.1675461	-14.2699233	Ambodisatrana
1925901127	50.145213	-14.258842900000001	Analamandrorofo
1925935689	50.1394245	-14.262557999999999	Antanifotsy
1927204246	50.2802882	-14.9000305	Ville Basse
1927230367	50.2786635	-14.900625400000001	Tanambao
1927433500	50.2797811	-14.903852300000002	Ankoalabe
1934032468	47.986616299999994	-14.877498000000001	Haute Ville
1976552530	45.65899	-24.8159329	Antanimora
2004658587	50.114048100000005	-13.987546700000001	Tanambao
2018175886	46.056309399999996	-18.7968184	Ambohitsoa
2121490052	47.0180651	-19.409865300000003	Antsapanimahazo
2189624096	43.656718100000006	-23.3404178	Anketraka
2189624097	43.6797549	-23.3420366	Betania
2189628249	43.683338799999994	-23.3665639	Itsimatsy
2226251508	43.6603306	-23.3446801	Ambohitsabo
2234056153	48.4912502	-16.9379489	Antanimenabaka
2274967032	47.575995299999995	-18.8796747	Ambohibe
2328064587	48.010870600000004	-22.152420000000003	Anjanodaro
2432497746	46.312850399999995	-15.7057063	Mahavoky Atsimo
2460307211	43.7405391	-21.2783797	Andranopasy
2463621488	48.237872499999995	-17.935134899999998	Andilanatoby
2482794939	47.037940899999995	-19.8781332	Antanivao
2482794947	47.0365471	-19.884050600000002	Mahazina
2482794951	47.0352267	-19.840260100000002	Miaramasoandro Vatofotsy
2484849548	47.043380400000004	-19.883541100000002	Ambohimena
2485488530	47.026143100000006	-19.8758695	Ambalakisoa
2485488534	47.0194666	-19.8772469	Amboronomby
2485488537	47.0307319	-19.8801326	Ampatana
2485488541	47.0356885	-19.8558081	Antanambao
2485488544	47.0222776	-19.869275899999998	Ivory
2485488548	47.0263815	-19.8579362	Mahazoarivo
2485488551	47.0151107	-19.849417300000002	Manantenasoa
2485488555	47.0259531	-19.8717367	Sabotsy
2514070197	47.0332081	-19.8734678	Antsenakely
2515492837	47.1103586	-15.7113791	Cité
2528928881	47.0771654	-21.4577073	Ambozontany
2528928882	47.0760677	-21.4607292	Rova
2541176509	46.940079600000004	-25.064386399999997	Ambinanibe
2724829809	47.523146399999995	-18.951758399999996	Ankeniheny
